,avg_ndvi,avg_msavi2,max_ndvi,max_msavi2,datalen
0,0.3207378300507663,0.471710525235235,0.6912354227405249,0.8174124266884064,61
1,0.3442323198609234,0.4915540964927608,0.8163119845229609,0.8988548443194304,119
2,0.318039894742137,0.4634128485140536,0.7984251968503937,0.8879034862538902,81
3,0.5489386156249265,0.6836249086061085,0.8843007401636152,0.9385923468316832,88
4,0.36039146899531677,0.4952219767239053,0.7804759433217932,0.8766817573095977,97
5,0.37834528385702687,0.5353346234791919,0.7428561014442513,0.8524303436215632,90
6,0.39493530558376727,0.5505561524275163,0.7047626748725685,0.8267848686286925,97
7,0.3688187888227861,0.5292746971740624,0.7637840975043528,0.8660552807614295,181
8,0.3750752667624754,0.5303698792319014,0.8120133219353114,0.8962407753806474,181
9,0.3672485058086687,0.5236876070376005,0.8054492401296709,0.892227697926046,181
10,0.36807966795435226,0.5235020161874281,0.8114956275193301,0.8959249681020083,181
11,0.4100617525547799,0.5534027167476552,0.8036899019341359,0.8911484734890109,94
12,0.3736636439894444,0.5292806947275467,0.801924311855466,0.8900598711725252,181
13,0.3748229422517799,0.5313779560386023,0.7799350456809935,0.8763442256754388,181
14,0.39269364142118623,0.5538839110108335,0.7124168405969896,0.8320331036102289,181
15,0.3699532323832862,0.5306809269236082,0.6928692758660923,0.8185517111160152,181
16,0.37397124637072293,0.5320772741550533,0.7558463678797572,0.8609260150938098,181
17,0.3501000329994634,0.5088137613002444,0.7418509182179005,0.8517763784952876,181
18,0.368517437665306,0.5273937531088722,0.7983711007659474,0.8878659098099888,181
19,0.3687863762661448,0.5276061761827345,0.7995120350783698,0.8885709717319514,181
20,0.3758270101178048,0.5325414416042044,0.820965073887754,0.9016662298081428,181
21,0.3823083792402424,0.5396148734670645,0.7959486860821996,0.886365328140073,181
22,0.36892969562289096,0.5122664951405868,0.818425679108246,0.9001367054515867,94
23,0.37518232665423645,0.5330838784369802,0.7636491818673191,0.8659690871363637,181
24,0.35398420672352626,0.5118392882094729,0.713079528862871,0.8324894325724017,181
25,0.35622068782867505,0.5141187256001476,0.7333654905423694,0.8461391681039458,181
26,0.37090882319760926,0.5285277131270885,0.7574352111866939,0.8619493619894456,181
27,0.3687107796765169,0.5260109072848419,0.7608530109717196,0.8641679327633938,181
28,0.37348566426868235,0.5286392166667341,0.8239861687042267,0.9034831143744668,181
29,0.3901145454392766,0.5473832522435719,0.890417622494358,0.9420199147812128,181
30,0.36977293729781596,0.5287588324834194,0.7291052426749287,0.8433034746922203,181
31,0.3694402051437461,0.5244148882163486,0.8314461857160129,0.9079508744080158,181
32,0.3518897178312034,0.5128366873225344,0.7544389372050833,0.8600148035980055,181
33,0.46481074389804883,0.6121666535625355,0.835406226378118,0.9103132438394824,176
34,0.35464491951525623,0.5123202535616558,0.7691614932359907,0.8695017115533119,181
35,0.3919343935535199,0.5480997312138507,0.8047009467130632,0.8917659107860345,181
36,0.35373744831548165,0.5133182698079386,0.7235485240001374,0.8395814784139475,181
37,0.36891881819664685,0.5285936501115558,0.7528095119648134,0.8589543293101087,181
38,0.40995431610773114,0.5666501158244043,0.817049837519361,0.8993012107903269,181
39,0.40311349649827055,0.5610938362980661,0.7832200009123585,0.8784118825833502,181
40,0.41127750996161755,0.5694431619914496,0.7851566727176694,0.8796289024662656,181
41,0.41349550786014844,0.5717147019557282,0.7480427514270618,0.8558423175609278,207
42,0.4326047040134293,0.5889198382193465,0.8071748046349194,0.8932757112204399,207
43,0.37206352229616585,0.527895034821892,0.8076045490669082,0.8935454575189397,181
44,0.36564115927451507,0.5080299162821819,0.8056221398997603,0.8923369452422776,114
45,0.4257028488713671,0.5817860886510619,0.8054142063169015,0.8922015910666232,207
46,0.4274092409571429,0.5807705681471133,0.7770398726080295,0.8745137075620733,207
47,0.436617464311366,0.5929772018415447,0.7893329156572355,0.882240302367336,207
48,0.43222946743084467,0.5880373048911606,0.7776174251157812,0.8748766063972653,207
49,0.43157868783680353,0.5848247673709719,0.777634755306236,0.8748908897064211,207
50,0.43416093430586866,0.5862458394976531,0.8289434289927347,0.9064591440192088,207
51,0.43305765974263827,0.5828753029024131,0.8219633943427621,0.9022696835463648,207
52,0.4137537885082965,0.5627989182973715,0.8115077515767236,0.8959313224158905,207
53,0.4025619647313801,0.5534120935151026,0.7912695100682594,0.8834550641931855,207
54,0.44122844206053013,0.5975266127278468,0.7817898621823622,0.8775077988111661,207
55,0.33182231341352286,0.48218412667369986,0.7830576392308948,0.8783162305794576,97
56,0.3716543549912217,0.5279212975613968,0.8479082099979425,0.917682198879902,181
57,0.45166785746913435,0.6059351056925363,0.7896523193342229,0.8824485985569481,207
58,0.4219561328875931,0.5723456895677103,0.816800621719909,0.8991488677415873,207
59,0.41769323366825106,0.5709132259019664,0.769367466054208,0.8696323595404465,207
60,0.4250837306779249,0.5782452551692979,0.761228168056385,0.8644106621022729,207
61,0.41444556634354895,0.565787601603387,0.8370793455476127,0.91130281667256,207
