,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,gt_ndvi,gt_msavi2,Labels_km,Label_T
0,0,1.3717823,1.1191477,2.4690788,3.1649637,2.7531407,-0.9286849,-0.47839576,1.8618144,8.483894,0.026969722,0.385534779,0.546250338,7,0
1,1,0.69577676,0.4719947,0.8782271,2.7810738,2.8946652,-0.3369902,0.17547314,1.4433293,5.3137383,0.30663761,0.520736582,0.679225434,0,1
2,2,0.53508306,0.74585783,2.8816214,2.7801876,2.2323954,-0.4260743,-0.3367589,0.3658805,8.386508,-0.22823203,0.424557434,0.578246234,7,0
3,3,-0.026856646,0.09833048,1.0593723,2.443299,3.5320756,0.8646269,-0.16569492,0.14698644,3.5122674,0.12401081,0.732382577,0.842036346,3,7
4,4,1.2860622,0.82203287,0.60737383,2.285303,2.4991431,-0.6029609,-0.22207546,0.40528217,3.4190304,-0.7561552,0.571615556,0.721583279,1,5
5,5,1.1876918,-0.5614195,0.85332423,3.2436903,2.1725535,-0.6451728,0.09839607,0.83786696,5.242691,-0.15846604,0.509092789,0.66967355,0,1
6,6,1.6490277,0.7861914,1.3699623,2.9310424,2.3227043,-0.3427448,0.17104368,1.1649882,4.1292167,-0.34399223,0.534748553,0.693025013,5,4
7,7,0.7863252,0.4844077,1.9134816,3.1921964,2.8300977,-0.84427744,-0.36600187,1.8734128,6.0634828,-0.95314634,0.552617158,0.70741238,6,2
8,8,1.8077282,-0.8157724,1.9432212,3.7552962,2.5369184,0.4634412,-0.6590255,0.6704082,3.8972368,-0.33214948,0.614828033,0.752924485,5,4
9,9,1.8072847,0.011891253,2.4399092,3.6145177,2.839079,0.4178868,-0.359382,1.2039863,4.5131164,-0.5613458,0.591314498,0.735064466,5,4
10,10,1.7687814,-0.15964891,2.352463,3.6475878,2.7402692,0.33043686,-0.2512067,1.11454,4.272842,-0.517217,0.603555945,0.74417911,5,4
11,11,1.191562,0.092088066,1.5416898,2.1646805,3.08806,-0.96427464,-0.342839,1.1588218,3.7589724,0.17102867,0.625481728,0.764341244,8,6
12,12,1.6820585,0.55829346,1.7038485,3.4749808,2.89122,-0.106255546,-1.0434887,1.0441117,4.0297613,-0.13742895,0.609351389,0.749770134,5,4
13,13,1.35169,0.5387043,1.9350604,3.3111331,2.6944253,-0.57278067,-0.83709276,1.057334,4.5266066,-0.96270424,0.603592929,0.745918278,5,4
14,14,0.845743,0.17619094,2.0619256,3.6237884,2.783791,-0.47394696,-0.17152539,1.814144,5.9178834,-0.7973901,0.583606923,0.733761741,6,2
15,15,1.2537937,-0.28927943,1.7723631,3.6406662,2.783914,0.3168419,-0.8134556,1.4251173,5.803039,-0.859251,0.549281439,0.705317032,6,2
16,16,1.188746,0.87767607,2.2124252,3.6209247,2.6330154,-0.68954635,-0.6946858,1.2129841,5.1214824,-1.0946039,0.587045011,0.733737911,6,2
17,17,1.6270716,0.23887455,1.7845188,3.5357442,2.9539263,0.11901932,-0.32367453,1.4545424,5.4572887,-0.67341274,0.531563628,0.687982579,6,2
18,18,1.6849858,-0.20799953,1.7432117,3.231841,3.150132,-0.75782704,0.32390586,1.8954438,4.855527,-0.5805657,0.569045151,0.72002138,0,1
19,19,1.4822189,-0.5586501,1.6979529,3.4171052,2.8336713,-0.002140563,-0.31070036,1.5141491,5.0758266,-0.7233386,0.570082961,0.720622204,0,1
20,20,1.7027916,-1.0174104,1.4394475,3.2763183,2.5889366,-0.51527196,-0.7718881,0.70817256,3.8069787,-0.2475735,0.603372979,0.745954261,5,4
21,21,1.4078608,0.5864688,2.3077452,3.0930007,2.70513,-0.15637147,-0.34222838,1.2757474,4.3057017,-1.0932944,0.608136412,0.749936981,5,4
22,22,1.4668994,-0.09835442,1.1595554,2.4813619,3.4285464,-0.58595335,-0.084686965,0.7903596,4.916627,-0.18650703,0.567176666,0.715769954,0,1
23,23,1.1975716,0.5350049,2.3701472,2.8645723,2.5627882,-0.15575646,-0.031054778,1.2581108,4.516429,-0.26968908,0.590109509,0.735884859,5,4
24,24,1.9972242,-0.45856857,2.2218826,3.4935722,2.6735,-0.35550246,-0.38009152,1.7917713,4.9473696,-0.92497563,0.55236279,0.705802348,0,1
25,25,1.2860812,0.56026727,1.7202723,3.2925217,2.3580215,-0.85527647,-0.589271,1.2988751,4.943214,-1.30726,0.555889095,0.708339078,0,1
26,26,1.4828873,-0.87671155,1.8646282,3.5186403,2.1884508,-0.4485423,0.08113483,0.9980343,4.3039017,-0.97566956,0.586625404,0.732932389,5,4
27,27,1.805533,-0.35023168,2.3223097,3.254871,2.6910598,-0.4189328,0.47178683,1.5692955,4.3391714,-0.30260402,0.585717171,0.731807674,5,4
28,28,2.5336747,-0.8437035,2.2026944,3.5752993,2.2791617,-0.42782325,-1.0943639,0.6240187,3.4802682,-1.1442963,0.613692332,0.750148429,5,4
29,29,1.5386391,0.09604211,1.3592427,3.0749087,2.0163784,0.46958014,-1.1055956,0.35217646,3.1852238,-1.0038807,0.619233987,0.755477708,5,4
30,30,1.1734741,-0.60457426,1.4032259,3.9184592,2.484293,0.43978217,-0.23261082,1.1483799,5.0870576,-0.5769824,0.567104063,0.718306723,5,4
31,31,1.8453109,0.22570965,1.8025063,3.3994727,2.523676,-0.21332657,-0.7303229,0.83350396,3.6560555,-1.0092876,0.606785444,0.747296334,5,4
32,32,0.85652775,0.35662422,1.7143558,3.4348185,2.9148448,-0.48219863,0.030502934,2.1291468,6.7614083,-0.15607858,0.510171908,0.671896268,6,2
33,33,0.40493688,-0.3559784,0.81506675,3.0855033,4.183168,-0.2358586,-0.560334,0.78083646,3.3716872,-0.21969001,0.738695541,0.848354263,3,7
34,34,1.700684,0.60094553,2.5600638,3.3584075,2.6791856,-0.24697597,-0.38815415,1.458782,4.908965,-0.8176956,0.553124889,0.706198786,5,4
35,35,1.4765639,0.5042954,2.4392254,3.0735912,2.5825992,-0.44604367,-0.35949403,1.0937538,3.876394,-0.6531599,0.632487967,0.765747141,5,4
36,36,1.292697,0.15515974,1.661873,3.0786602,2.84907,-0.096764326,-0.7884635,1.4728936,5.7012177,-0.47992653,0.53059793,0.688414779,6,2
37,37,1.5790561,0.20335598,2.4544592,3.5779762,2.7109778,-0.8383338,-0.14315943,1.6703222,5.277738,-0.5525043,0.559349509,0.712017458,6,2
38,38,1.8553514,0.25315446,2.7823346,3.3452551,2.6186264,0.26678035,-0.86160326,1.1017756,3.7925463,-0.62640095,0.647221061,0.777022916,5,4
39,39,1.2736415,0.6385517,2.0693574,3.3284018,2.1617951,0.25521237,-0.9270726,0.8922516,3.7161908,-0.76744676,0.626549448,0.763152795,5,4
40,40,1.2307501,0.5037608,1.913186,3.223452,2.2637134,0.53339666,-0.4328593,0.99359846,3.5865881,-0.52385783,0.631911377,0.766281979,5,4
41,41,1.1050674,0.4689728,0.7804436,2.3047523,2.683951,-0.7308961,-0.4928812,1.4770972,3.5919003,0.21381624,0.601013341,0.748371938,1,5
